player,date,time,result
want2lose,3/3/2019,1 min,Lost
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Draw
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Lost
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Lost
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,3/3/2019,1 min,Won
want2lose,2/5/2019,1 min,Lost
want2lose,2/5/2019,1 min,Won
want2lose,2/5/2019,1 min,Lost
want2lose,2/4/2019,1 min,Draw
want2lose,2/4/2019,1 min,Lost
want2lose,2/4/2019,1 min,Lost
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Draw
want2lose,2/4/2019,1 min,Lost
want2lose,2/4/2019,1 min,Lost
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Lost
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Lost
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Lost
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
want2lose,2/4/2019,1 min,Won
