player,date,time,result
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Draw
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/13/2019,1 min,Won
GMSrinath,2/13/2019,1 min,Lost
GMSrinath,2/11/2019,1 min,Lost
GMSrinath,2/4/2019,30 sec,Lost
GMSrinath,2/4/2019,30 sec,Lost
GMSrinath,2/4/2019,30 sec,Won
GMSrinath,2/4/2019,30 sec,Lost
GMSrinath,2/4/2019,30 sec,Lost
GMSrinath,2/4/2019,30 sec,Lost
GMSrinath,2/4/2019,30 sec,Lost
