player,date,time,result
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Lost
SomePatzer,12/14/2018,30 sec,Lost
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Lost
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Lost
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Draw
SomePatzer,12/14/2018,30 sec,Draw
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Lost
SomePatzer,12/14/2018,30 sec,Lost
SomePatzer,12/14/2018,30 sec,Lost
SomePatzer,12/14/2018,30 sec,Won
SomePatzer,12/14/2018,30 sec,Lost
SomePatzer,12/12/2018,30 sec,Won
SomePatzer,12/12/2018,30 sec,Won
SomePatzer,12/12/2018,30 sec,Won
SomePatzer,12/12/2018,30 sec,Lost
SomePatzer,12/12/2018,30 sec,Won
SomePatzer,12/12/2018,30 sec,Won
SomePatzer,12/12/2018,30 sec,Won
SomePatzer,12/10/2018,30 sec,Lost
SomePatzer,12/10/2018,30 sec,Won
SomePatzer,12/3/2018,30 sec,Won
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Won
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Won
SomePatzer,12/3/2018,30 sec,Won
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Won
SomePatzer,12/3/2018,30 sec,Won
SomePatzer,12/3/2018,30 sec,Won
SomePatzer,12/3/2018,30 sec,Lost
SomePatzer,12/3/2018,30 sec,Won
SomePatzer,12/3/2018,30 sec,Lost
