player,date,time,result
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Draw
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Draw
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Draw
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Draw
1random,4/2/2019,30 sec,Draw
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Draw
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Lost
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
1random,4/2/2019,30 sec,Won
